Date,Adani enterprises_Open,Adani enterprises_High,Adani enterprises_Low,Adani enterprises_Close,Adani enterprises_Adj Close,Adani enterprises_Volume,D-mart_Open,D-mart_High,D-mart_Low,D-mart_Close,D-mart_Adj Close,D-mart_Volume,,,,,,,,,,,,,,,
05-05-2022,2270,2303.8,2236,2255.4,2254.44,1636796,3920,3980,3775,3943.8,3943.8,457770,,,,,,,,,,,,,,,
06-05-2022,2210,2262,2200,2247.7,2246.74,1161579,3866,3889.65,3602.15,3666.2,3666.2,858787,,,,,,,,,,,,,,,
09-05-2022,2229.5,2244.2,2180,2197.65,2196.72,1450886,3655,3655,3486,3520.3,3520.3,732787,,,,,,,,,,,,,,,
10-05-2022,2190,2220,2097.5,2109.5,2108.6,1471866,3501,3545.25,3402.15,3414.95,3414.95,696666,,,,,,,,,,,,,,,
11-05-2022,2109.600098,2157.75,2077,2119.3,2118.4,1397917,3448,3448,3311.7,3339.7,3339.7,689554,,,,,,,,,,,,,,,
12-05-2022,2103,2113.6,2011.05,2045.2,2044.33,1553685,3310,3334.95,3241.25,3270.45,3270.45,725552,,,,,,,,,,,,,,,
13-05-2022,2084.5,2135,2035.3,2054.15,2053.28,1547617,3351,3357.75,3205,3230.6,3230.6,546754,,,,,,,,,,,,,,,
16-05-2022,2082.649902,2141.95,2057.65,2105.9,2105.01,1742552,3260,3620,3186,3561.1,3561.1,1871384,,,,,,,,,,,,,,,
17-05-2022,2133.050049,2192.25,2119.4,2184.85,2183.92,1061085,3620,3724,3473.45,3657,3657,926148,,,,,,,,,,,,,,,
18-05-2022,2199.699951,2216.9,2172,2181.1,2180.17,1296983,3700,3781,3650,3664.05,3664.05,712472,,,,,,,,,,,,,,,
19-05-2022,2145,2154.75,2097.6,2114.75,2113.85,986930,3513,3649,3491.5,3614.85,3614.85,439658,,,,,,,,,,,,,,,
20-05-2022,2159,2232.4,2151,2219.55,2218.61,1444803,3708.9,3717.2,3610,3630.4,3630.4,334172,,,,,,,,,,,,,,,
23-05-2022,2231.75,2245,2155.65,2170.65,2169.73,1455450,3650,3694.5,3552.05,3574.1,3574.1,258246,,,,,,,,,,,,,,,
24-05-2022,2161,2178.9,2142.55,2160.2,2159.28,1008943,3579.95,3685,3571.2,3656.75,3656.75,391193,,,,,,,,,,,,,,,
25-05-2022,2168,2181.45,2066.2,2074.15,2073.27,1382448,3670,3694,3555.65,3586.45,3586.45,224375,,,,,,,,,,,,,,,
26-05-2022,2077,2088,1906.2,2046.4,2045.53,4967514,3586.45,3635.7,3465.3,3577.45,3577.45,279250,,,,,,,,,,,,,,,
27-05-2022,2080,2094.3,2047.7,2080.15,2079.27,1354005,3605,3649,3586,3613.85,3613.85,199688,,,,,,,,,,,,,,,
30-05-2022,2120,2175,2102,2165.65,2164.73,1384584,3660,3824.9,3645,3796.4,3796.4,429986,,,,,,,,,,,,,,,
31-05-2022,2160,2225.8,2150.4,2167.55,2166.63,2861556,3807.75,4049,3767.9,3972.8,3972.8,1335568,,,,,,,,,,,,,,,
01-06-2022,2169.949951,2189.3,2126,2150.9,2149.99,1448212,3960,4039,3812.55,3874.05,3874.05,620365,,,,,,,,,,,,,,,
02-06-2022,2155,2218,2142.3,2209.4,2208.46,1855167,3885,3927.55,3831.1,3856.9,3856.9,302036,,,,,,,,,,,,,,,
03-06-2022,2235,2242.25,2176.05,2190,2189.07,1651685,3888,3888.4,3768,3820.1,3820.1,349881,,,,,,,,,,,,,,,
06-06-2022,2188.5,2230,2168.2,2225.05,2224.1,1664487,3800,3800,3675,3734.75,3734.75,295307,,,,,,,,,,,,,,,
07-06-2022,2210,2254.7,2207.05,2227.55,2226.6,2046676,3704,3778.8,3652.05,3726.7,3726.7,301552,,,,,,,,,,,,,,,
08-06-2022,2244.949951,2244.95,2158.55,2177.2,2176.27,1530739,3765,3771,3700,3739.4,3739.4,250665,,,,,,,,,,,,,,,
09-06-2022,2160.300049,2224,2155,2219.2,2218.26,1440385,3729.9,3850,3686.4,3830.35,3830.35,445083,,,,,,,,,,,,,,,
10-06-2022,2190,2215,2171,2203.1,2202.16,1305761,3790,3838,3735.1,3755.65,3755.65,235985,,,,,,,,,,,,,,,
13-06-2022,2172.5,2172.5,2066.75,2079.75,2078.87,1764172,3700,3743.6,3644.4,3661.6,3661.6,252912,,,,,,,,,,,,,,,
14-06-2022,2274,2274,2053.1,2196.45,2195.52,6515102,3628,3712.7,3552.25,3648.3,3648.3,424143,,,,,,,,,,,,,,,
15-06-2022,2218.399902,2219.7,2174.2,2184.6,2183.67,1313510,3669.9,3743.95,3645.35,3662.9,3662.9,274604,,,,,,,,,,,,,,,
16-06-2022,2205,2217.3,2076.05,2083,2082.11,2131789,3736,3737.9,3562,3682.6,3682.6,408563,,,,,,,,,,,,,,,
17-06-2022,2062,2137.4,2060.15,2095.8,2094.91,2280135,3670,3673.85,3413.7,3460.55,3460.55,1104855,,,,,,,,,,,,,,,
20-06-2022,2107.300049,2123.3,2025,2079.85,2078.97,2603594,3493.45,3536.7,3460.55,3479.1,3479.1,222230,,,,,,,,,,,,,,,
21-06-2022,2100,2177,2091.65,2161.8,2160.88,1331500,3520,3545,3450,3519.55,3519.55,340688,,,,,,,,,,,,,,,
22-06-2022,2149.949951,2149.95,2077.1,2089.2,2088.31,1774137,3524.45,3524.45,3466.05,3486.35,3486.35,197297,,,,,,,,,,,,,,,
23-06-2022,2105,2128,2080,2110.35,2109.45,1026783,3487.75,3502.65,3401,3440.45,3440.45,355857,,,,,,,,,,,,,,,
24-06-2022,2121,2168,2108.6,2161.45,2160.53,1156536,3489.95,3489.95,3390.1,3412,3412,454591,,,,,,,,,,,,,,,
27-06-2022,2189,2211,2169.35,2181.6,2180.67,1202504,3460,3460,3400,3408.6,3408.6,276838,,,,,,,,,,,,,,,
28-06-2022,2170,2210.25,2160,2204.6,2203.66,1282047,3407.55,3497,3374,3479.95,3479.95,440886,,,,,,,,,,,,,,,
29-06-2022,2185,2247.8,2177.2,2220.1,2219.16,1692493,3450.45,3527,3425,3445.25,3445.25,405633,,,,,,,,,,,,,,,
30-06-2022,2220,2248.5,2180.5,2190.9,2189.97,1568415,3445.2,3469,3370,3406.1,3406.1,384404,,,,,,,,,,,,,,,
01-07-2022,2189.899902,2242,2138.25,2232.2,2231.25,2141743,3394.45,3406.65,3331.1,3388.75,3388.75,311228,,,,,,,,,,,,,,,
04-07-2022,2232.199951,2277,2228.35,2261.85,2260.89,1581159,3530,3555,3460,3495.5,3495.5,766616,,,,,,,,,,,,,,,
05-07-2022,2264,2290.7,2238,2246.45,2245.5,1356776,3506,3657.65,3506,3639.05,3639.05,859254,,,,,,,,,,,,,,,
06-07-2022,2245,2277,2236.5,2272.85,2271.88,1045463,3650,3830,3650,3792,3792,751853,,,,,,,,,,,,,,,
07-07-2022,2280,2294.95,2256,2274.3,2273.33,946131,3870,3935.6,3830,3850.95,3850.95,463192,,,,,,,,,,,,,,,
08-07-2022,2286,2303.6,2263.9,2293.05,2292.08,898576,3868.4,3974,3851.1,3941.7,3941.7,568785,,,,,,,,,,,,,,,
11-07-2022,2293.050049,2384.6,2291.05,2373.25,2372.24,1967308,4000,4087.85,3892,3986.85,3986.85,2331905,,,,,,,,,,,,,,,
12-07-2022,2364.399902,2389.8,2350.15,2365.65,2364.64,1273008,3986.5,3986.85,3855,3878.4,3878.4,569128,,,,,,,,,,,,,,,
13-07-2022,2373.5,2384.65,2333.7,2353.5,2352.5,982185,3900,3944,3870,3883.35,3883.35,423704,,,,,,,,,,,,,,,
14-07-2022,2365,2404,2336.5,2383.1,2383.1,933554,3913.9,3944,3884,3924.85,3924.85,372526,,,,,,,,,,,,,,,
15-07-2022,2414.5,2422.95,2377,2405.25,2405.25,1169788,3925,3939.9,3888,3926.8,3926.8,194371,,,,,,,,,,,,,,,
18-07-2022,2424,2441.85,2406.05,2423.6,2423.6,937204,3951,3968,3920,3945.75,3945.75,287481,,,,,,,,,,,,,,,
19-07-2022,2406.949951,2459.3,2405,2451.3,2451.3,843301,3911,3942,3911,3931.3,3931.3,169004,,,,,,,,,,,,,,,
20-07-2022,2462,2472.8,2444,2451.1,2451.1,693601,3960,3965,3902,3915.45,3915.45,251615,,,,,,,,,,,,,,,
21-07-2022,2453.800049,2498.95,2451.25,2495.5,2495.5,1314165,3930,4059,3920.05,4035.35,4035.35,587934,,,,,,,,,,,,,,,
22-07-2022,2505.5,2514.05,2483.1,2499.4,2499.4,833522,4070,4077.9,3950,3963.4,3963.4,457904,,,,,,,,,,,,,,,
25-07-2022,2505,2562.15,2500,2550.6,2550.6,1220351,3973,4050,3935,4040.05,4040.05,444451,,,,,,,,,,,,,,,
26-07-2022,2555,2568.6,2533,2559.7,2559.7,865142,4038,4038,3909,3932.4,3932.4,430993,,,,,,,,,,,,,,,
27-07-2022,2560,2572.5,2528,2548.7,2548.7,953588,3940,4010,3920,4000.95,4000.95,245970,,,,,,,,,,,,,,,
28-07-2022,2559.899902,2565.65,2531.6,2550.4,2550.4,759442,4020,4164,4001,4147.8,4147.8,725281,,,,,,,,,,,,,,,
29-07-2022,2565,2622,2560,2569.2,2569.2,1107195,4215,4250,4183.45,4243.85,4243.85,514745,,,,,,,,,,,,,,,
01-08-2022,2575.850098,2669.4,2569.2,2660.15,2660.15,1267039,4251.95,4317,4246.5,4307.65,4307.65,399725,,,,,,,,,,,,,,,
02-08-2022,2660,2697,2640,2683.65,2683.65,1096480,4306,4306,4235.05,4259.1,4259.1,311279,,,,,,,,,,,,,,,
03-08-2022,2685,2717,2671.2,2711.4,2711.4,815831,4251,4298,4180.1,4253.15,4253.15,289000,,,,,,,,,,,,,,,
04-08-2022,2725,2743.9,2684.25,2723.6,2723.6,1223799,4268,4314.9,4175,4239.1,4239.1,593274,,,,,,,,,,,,,,,
05-08-2022,2760,2767.65,2685,2698.4,2698.4,1639981,4238,4295,4187.15,4232.25,4232.25,528876,,,,,,,,,,,,,,,
08-08-2022,2700,2807.65,2695.65,2791.9,2791.9,1581696,4237.4,4267.4,4233,4250.05,4250.05,200014,,,,,,,,,,,,,,,
10-08-2022,2801.75,2834.9,2781.55,2827.2,2827.2,1304663,4250.05,4278.95,4219.85,4250.7,4250.7,238239,,,,,,,,,,,,,,,
11-08-2022,2841,2848.4,2815.1,2834.05,2834.05,978616,4280,4295,4260,4274.85,4274.85,246094,,,,,,,,,,,,,,,
12-08-2022,2840,2871.15,2834.05,2864.55,2864.55,843025,4274.85,4387,4255,4336.7,4336.7,448303,,,,,,,,,,,,,,,
16-08-2022,2879,2986,2871,2975.85,2975.85,1969492,4355,4412,4350.55,4402.1,4402.1,290414,,,,,,,,,,,,,,,
17-08-2022,2986,3028.55,2980,3008.65,3008.65,1510171,4422,4438,4370,4398.65,4398.65,316826,,,,,,,,,,,,,,,
18-08-2022,3005,3186,3004,3153.65,3153.65,3502295,4425,4493.1,4401.05,4460.95,4460.95,468551,,,,,,,,,,,,,,,
19-08-2022,3178,3258.9,3075.25,3130.2,3130.2,6109949,4487,4523.5,4352.75,4382,4382,437762,,,,,,,,,,,,,,,
22-08-2022,3134,3191.8,3029.2,3051.6,3051.6,3473580,4371,4371,4231,4250.75,4250.75,330916,,,,,,,,,,,,,,,
23-08-2022,3032.649902,3074,2927.4,3030.65,3030.65,4169136,4195,4301,4170.55,4256.95,4256.95,285843,,,,,,,,,,,,,,,
24-08-2022,3038,3153,2986,3134.65,3134.65,3475387,4269,4356,4266,4304.25,4304.25,270843,,,,,,,,,,,,,,,
25-08-2022,3167,3177.8,3055.7,3066.35,3066.35,3119494,4339.9,4394,4312.05,4341.25,4341.25,246543,,,,,,,,,,,,,,,
26-08-2022,3080,3172.95,3078,3139.55,3139.55,2897602,4384,4414.5,4370.05,4409.65,4409.65,202948,,,,,,,,,,,,,,,
29-08-2022,3055,3166.45,3037.85,3142.6,3142.6,1924984,4270,4450,4270,4431.55,4431.55,352554,,,,,,,,,,,,,,,
30-08-2022,3165,3263.1,3161,3194.35,3194.35,4392183,4475,4550,4460.3,4531.35,4531.35,426171,,,,,,,,,,,,,,,
01-09-2022,3200,3245,3184.4,3233.25,3233.25,1880363,4494,4599.4,4462,4565.85,4565.85,431835,,,,,,,,,,,,,,,
02-09-2022,3261,3369.4,3225,3355.8,3355.8,4835905,4572.9,4609,4511,4576.8,4576.8,268702,,,,,,,,,,,,,,,
05-09-2022,3374.100098,3431.8,3313,3346.55,3346.55,3686950,4584.8,4606.15,4550,4577.45,4577.45,216543,,,,,,,,,,,,,,,
06-09-2022,3370,3447.6,3355,3435.8,3435.8,2580772,4599,4603.95,4531,4557.1,4557.1,258981,,,,,,,,,,,,,,,
07-09-2022,3435.800049,3487.95,3406.1,3473.75,3473.75,2188110,4532,4548,4402.3,4426.3,4426.3,322460,,,,,,,,,,,,,,,
08-09-2022,3499,3501.5,3450,3462.8,3462.8,1560414,4499,4499,4390,4406.05,4406.05,214781,,,,,,,,,,,,,,,
09-09-2022,3479,3507.95,3415.15,3451.2,3451.2,1614634,4448.55,4448.55,4370,4386.1,4386.1,210596,,,,,,,,,,,,,,,
12-09-2022,3465,3495.5,3457.9,3463.8,3463.8,1647756,4440,4475,4400,4443.95,4443.95,252381,,,,,,,,,,,,,,,
13-09-2022,3478,3568.9,3421.3,3555.8,3555.8,3479669,4470,4510,4447.8,4493.25,4493.25,293076,,,,,,,,,,,,,,,
14-09-2022,3518,3608,3511,3572.1,3572.1,2740337,4450,4518,4426.15,4478.25,4478.25,268511,,,,,,,,,,,,,,,
